date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:11:59	180/180	---MC-	200	added ('OK')	text/plain	date:Fri,%2029%20May%202026%2008:11:56%20GMT	https://www.finedaysticker.com/robots.txt		(from )
15:12:05	561883/-1	---M--	200	added ('OK')	text/html	date:Fri,%2029%20May%202026%2008:11:56%20GMT	https://www.finedaysticker.com/	E:/Fineday%20Sticker%20Website/www.finedaysticker.com/index.html	(from )
15:12:07	178127/178127	---M--	200	added ('OK')	image/jpeg	etag:%222b7cf-606de4a5f6291%22	https://www.finedaysticker.com/wp-content/uploads/elementor/thumbs/FineDay-Sticker-Banner-2023-10-qdcs2k0qrf2zooh5d0592g8iuosdn4tgpwcltezjls.jpg	E:/Fineday%20Sticker%20Website/www.finedaysticker.com/wp-content/uploads/elementor/thumbs/FineDay-Sticker-Banner-2023-10-qdcs2k0qrf2zooh5d0592g8iuosdn4tgpwcltezjls.jpg	(from https://www.finedaysticker.com/)
15:12:12	7374/7374	---MC-	200	added ('OK')	application/json	date:Fri,%2029%20May%202026%2008:12:08%20GMT	https://www.finedaysticker.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.finedaysticker.com%2F	E:/Fineday%20Sticker%20Website/www.finedaysticker.com/wp-json/oembed/1.0/embed26be.json	(from https://www.finedaysticker.com/)
15:12:13	13725/13725	---MC-	200	added ('OK')	application/rss+xml	etag:%22afd1cca7d92030c2d1bc9cbcdd7789d7%22	https://www.finedaysticker.com/feed/	E:/Fineday%20Sticker%20Website/www.finedaysticker.com/feed/index.html	(from https://www.finedaysticker.com/)
15:12:17	8344/8344	---MC-	200	added ('OK')	text/xml	date:Fri,%2029%20May%202026%2008:12:13%20GMT	https://www.finedaysticker.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.finedaysticker.com%2F&format=xml	E:/Fineday%20Sticker%20Website/www.finedaysticker.com/wp-json/oembed/1.0/embedbbe1	(from https://www.finedaysticker.com/)
15:12:17	71726/71726	---M--	200	added ('OK')	text/css	etag:%221182e-64ff089439a4e%22	https://www.finedaysticker.com/wp-content/plugins/qi-blocks/assets/css/plugins/animate/animate.min.css?ver=4.1.1	E:/Fineday%20Sticker%20Website/www.finedaysticker.com/wp-content/plugins/qi-blocks/assets/css/plugins/animate/animate.min0235.css	(from https://www.finedaysticker.com/)
15:12:17	22659/22659	---M--	200	added ('OK')	text/css	etag:%225883-5f1358ed2d1a1%22	https://www.finedaysticker.com/wp-content/plugins/LayerSlider/static/layerslider/css/layerslider.css?ver=6.8.4	E:/Fineday%20Sticker%20Website/www.finedaysticker.com/wp-content/plugins/LayerSlider/static/layerslider/css/layerslidercc6a.css	(from https://www.finedaysticker.com/)
15:12:17	79685/79685	---M--	200	added ('OK')	text/css	etag:%2213745-633706056f498%22	https://www.finedaysticker.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=2.3.0	E:/Fineday%20Sticker%20Website/www.finedaysticker.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontenda1ec.css	(from https://www.finedaysticker.com/)
15:12:18	75736/75736	---M--	200	added ('OK')	text/css	etag:%22127d8-64feffec2bb46%22	https://www.finedaysticker.com/wp-content/plugins/blog-designer-pack/assets/css/font-awesome.min.css?ver=4.0.11	E:/Fineday%20Sticker%20Website/www.finedaysticker.com/wp-content/plugins/blog-designer-pack/assets/css/font-awesome.min1cf2.css	(from https://www.finedaysticker.com/)
15:12:18	3336/3336	---M--	200	added ('OK')	text/css	etag:%22d08-64feffec2bf2d%22	https://www.finedaysticker.com/wp-content/plugins/blog-designer-pack/assets/css/owl.carousel.min.css?ver=4.0.11	E:/Fineday%20Sticker%20Website/www.finedaysticker.com/wp-content/plugins/blog-designer-pack/assets/css/owl.carousel.min1cf2.css	(from https://www.finedaysticker.com/)
15:12:18	26472/26472	---M--	200	added ('OK')	text/css	etag:%226768-64feffec2b376%22	https://www.finedaysticker.com/wp-content/plugins/blog-designer-pack/assets/css/bdpp-public.min.css?ver=4.0.11	E:/Fineday%20Sticker%20Website/www.finedaysticker.com/wp-content/plugins/blog-designer-pack/assets/css/bdpp-public.min1cf2.css	(from https://www.finedaysticker.com/)
15:12:18	2947/2947	---M--	200	added ('OK')	text/css	etag:%22b83-64c3f9a42449b%22	https://www.finedaysticker.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.5	E:/Fineday%20Sticker%20Website/www.finedaysticker.com/wp-content/plugins/contact-form-7/includes/css/stylesb5e1.css	(from https://www.finedaysticker.com/)
15:12:19	9216/9216	---M--	200	added ('OK')	text/css	etag:%222400-633706245c333%22	https://www.finedaysticker.com/wp-content/plugins/marvy-animation-addons-for-elementor-lite/elementor/assets/css/marvy-custom.css?ver=1.7.4	E:/Fineday%20Sticker%20Website/www.finedaysticker.com/wp-content/plugins/marvy-animation-addons-for-elementor-lite/elementor/assets/css/marvy-customb34d.css	(from https://www.finedaysticker.com/)
15:12:19	44180/44180	---M--	200	added ('OK')	text/css	etag:%22ac94-64ff0896e7cf9%22	https://www.finedaysticker.com/wp-content/plugins/qi-blocks/assets/dist/grid.css?ver=1.4.9	E:/Fineday%20Sticker%20Website/www.finedaysticker.com/wp-content/plugins/qi-blocks/assets/dist/gride29d.css	(from https://www.finedaysticker.com/)
15:12:19	33777/33777	---M--	200	added ('OK')	text/css	etag:%2283f1-64ff0897e37a8%22	https://www.finedaysticker.com/wp-content/plugins/qi-blocks/assets/dist/main.css?ver=1.4.9	E:/Fineday%20Sticker%20Website/www.finedaysticker.com/wp-content/plugins/qi-blocks/assets/dist/maine29d.css	(from https://www.finedaysticker.com/)
15:12:19	2630/2630	---M--	200	added ('OK')	text/css	etag:%22a46-64c3f95248bec%22	https://www.finedaysticker.com/wp-content/plugins/advanced-backgrounds/assets/awb/awb.min.css?ver=1.12.8	E:/Fineday%20Sticker%20Website/www.finedaysticker.com/wp-content/plugins/advanced-backgrounds/assets/awb/awb.min6ef3.css	(from https://www.finedaysticker.com/)
15:12:19	776/776	---M--	200	added ('OK')	text/css	etag:%22308-6337060312297%22	https://www.finedaysticker.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=2.3.0	E:/Fineday%20Sticker%20Website/www.finedaysticker.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementora1ec.css	(from https://www.finedaysticker.com/)
15:12:20	54666/54666	---M--	200	added ('OK')	text/css	etag:%22d58a-64ff09d381011%22	https://www.finedaysticker.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=4.0.3	E:/Fineday%20Sticker%20Website/www.finedaysticker.com/wp-content/plugins/elementor/assets/css/frontend.minfa0c.css	(from https://www.finedaysticker.com/)
15:12:20	2820/2820	---M--	200	added ('OK')	text/css	etag:%22b04-651b2ffb22e47%22	https://www.finedaysticker.com/wp-content/uploads/elementor/css/post-1358.css?ver=1778679096	E:/Fineday%20Sticker%20Website/www.finedaysticker.com/wp-content/uploads/elementor/css/post-13580e21.css	(from https://www.finedaysticker.com/)
15:12:20	1793/1793	---M--	200	added ('OK')	text/css	etag:%22701-64ff09d409366%22	https://www.finedaysticker.com/wp-content/plugins/elementor/assets/css/widget-spacer.min.css?ver=4.0.3	E:/Fineday%20Sticker%20Website/www.finedaysticker.com/wp-content/plugins/elementor/assets/css/widget-spacer.minfa0c.css	(from https://www.finedaysticker.com/)
15:12:20	214/214	---M--	200	added ('OK')	text/css	etag:%22d6-64ff09d3f89d1%22	https://www.finedaysticker.com/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=4.0.3	E:/Fineday%20Sticker%20Website/www.finedaysticker.com/wp-content/plugins/elementor/assets/css/widget-image.minfa0c.css	(from https://www.finedaysticker.com/)
15:12:21	778/778	---M--	200	added ('OK')	text/css	etag:%2230a-64c3fa36b0965%22	https://www.finedaysticker.com/wp-content/plugins/elementor-pro/assets/css/modules/motion-fx.min.css?ver=3.35.1	E:/Fineday%20Sticker%20Website/www.finedaysticker.com/wp-content/plugins/elementor-pro/assets/css/modules/motion-fx.minc8a6.css	(from https://www.finedaysticker.com/)
